title,main_genre,main_company,budget,revenue,profit,runtime,original_language,vote_average,release_date,popularity,profit_category,budget_category,roi
Avatar,Action,Ingenious Film Partners,237000000,2787965087,2550965087,162.0,en,7.2,2009-12-10,150.437577,High Profit,High Budget,11.763565767932489
Pirates of the Caribbean: At World's End,Adventure,Walt Disney Pictures,300000000,961000000,661000000,169.0,en,6.9,2007-05-19,139.082615,High Profit,High Budget,3.203333333333333
Spectre,Action,Columbia Pictures,245000000,880674609,635674609,148.0,en,6.3,2015-10-26,107.376788,High Profit,High Budget,3.5945902408163266
The Dark Knight Rises,Action,Legendary Pictures,250000000,1084939099,834939099,165.0,en,7.6,2012-07-16,112.31295,High Profit,High Budget,4.339756396
John Carter,Action,Walt Disney Pictures,260000000,284139100,24139100,132.0,en,6.1,2012-03-07,43.926995,Medium Profit,High Budget,1.0928426923076924
Spider-Man 3,Fantasy,Columbia Pictures,258000000,890871626,632871626,139.0,en,5.9,2007-05-01,115.699814,High Profit,High Budget,3.4529907984496124
Tangled,Animation,Walt Disney Pictures,260000000,591794936,331794936,100.0,en,7.4,2010-11-24,48.681969,High Profit,High Budget,2.2761343692307694
Avengers: Age of Ultron,Action,Marvel Studios,280000000,1405403694,1125403694,141.0,en,7.3,2015-04-22,134.279229,High Profit,High Budget,5.019298907142857
Harry Potter and the Half-Blood Prince,Adventure,Warner Bros.,250000000,933959197,683959197,153.0,en,7.4,2009-07-07,98.885637,High Profit,High Budget,3.735836788
Batman v Superman: Dawn of Justice,Action,DC Comics,250000000,873260194,623260194,151.0,en,5.7,2016-03-23,155.790452,High Profit,High Budget,3.493040776
Superman Returns,Adventure,DC Comics,270000000,391081192,121081192,154.0,en,5.4,2006-06-28,57.925623,High Profit,High Budget,1.4484488592592593
Quantum of Solace,Adventure,Eon Productions,200000000,586090727,386090727,106.0,en,6.1,2008-10-30,107.928811,High Profit,High Budget,2.930453635
Pirates of the Caribbean: Dead Man's Chest,Adventure,Walt Disney Pictures,200000000,1065659812,865659812,151.0,en,7.0,2006-06-20,145.847379,High Profit,High Budget,5.32829906
The Lone Ranger,Action,Walt Disney Pictures,255000000,89289910,-165710090,149.0,en,5.9,2013-07-03,49.046956,Loss,High Budget,0.35015650980392155
Man of Steel,Action,Legendary Pictures,225000000,662845518,437845518,143.0,en,6.5,2013-06-12,99.398009,High Profit,High Budget,2.94598008
The Chronicles of Narnia: Prince Caspian,Adventure,Walt Disney,225000000,419651413,194651413,150.0,en,6.3,2008-05-15,53.978602,High Profit,High Budget,1.8651173911111112
The Avengers,Science Fiction,Paramount Pictures,220000000,1519557910,1299557910,143.0,en,7.4,2012-04-25,144.448633,High Profit,High Budget,6.907081409090909
Pirates of the Caribbean: On Stranger Tides,Adventure,Walt Disney Pictures,380000000,1045713802,665713802,136.0,en,6.4,2011-05-14,135.413856,High Profit,High Budget,2.7518784263157894
Men in Black 3,Action,Amblin Entertainment,225000000,624026776,399026776,106.0,en,6.2,2012-05-23,52.035179,High Profit,High Budget,2.773452337777778
The Hobbit: The Battle of the Five Armies,Action,WingNut Films,250000000,956019788,706019788,144.0,en,7.1,2014-12-10,120.965743,High Profit,High Budget,3.824079152
The Amazing Spider-Man,Action,Columbia Pictures,215000000,752215857,537215857,136.0,en,6.5,2012-06-27,89.866276,High Profit,High Budget,3.4986784046511628
Robin Hood,Action,Imagine Entertainment,200000000,310669540,110669540,140.0,en,6.2,2010-05-12,37.668301,High Profit,High Budget,1.5533477
The Hobbit: The Desolation of Smaug,Adventure,WingNut Films,250000000,958400000,708400000,161.0,en,7.6,2013-12-11,94.370564,High Profit,High Budget,3.8336
The Golden Compass,Adventure,New Line Cinema,180000000,372234864,192234864,113.0,en,5.8,2007-12-04,42.990906,High Profit,High Budget,2.0679714666666666
King Kong,Adventure,WingNut Films,207000000,550000000,343000000,187.0,en,6.6,2005-12-14,61.22601,High Profit,High Budget,2.657004830917874
Titanic,Drama,Paramount Pictures,200000000,1845034188,1645034188,194.0,en,7.5,1997-11-18,100.025899,High Profit,High Budget,9.22517094
Captain America: Civil War,Adventure,Studio Babelsberg,250000000,1153304495,903304495,147.0,en,7.1,2016-04-27,198.372395,High Profit,High Budget,4.61321798
Battleship,Thriller,Universal Pictures,209000000,303025485,94025485,131.0,en,5.5,2012-04-11,64.928382,Medium Profit,High Budget,1.4498827033492823
Jurassic World,Action,Universal Studios,150000000,1513528810,1363528810,124.0,en,6.5,2015-06-09,418.708552,High Profit,High Budget,10.090192066666667
Skyfall,Action,Columbia Pictures,200000000,1108561013,908561013,143.0,en,6.9,2012-10-25,93.004993,High Profit,High Budget,5.542805065
Spider-Man 2,Action,Columbia Pictures,200000000,783766341,583766341,127.0,en,6.7,2004-06-25,35.149586,High Profit,High Budget,3.918831705
